Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
7,2011-12-02,20.38,3.378,2229.32,6.47,738.42,1630.88,11534.89,195.8223287,8.513,False
7,2011-12-09,11.17,3.331,3393.21,10533.551183431951,94.93,589.44,3067.9,195.8742575,8.513,False
7,2011-12-16,15.2,3.266,2089.28,0.09,168.73,439.97,1899.74,195.9841685,8.513,False
7,2011-12-23,12.19,3.173,519.82,0.15,483.1,41.51,1313.38,196.1713893,8.513,False
7,2011-12-30,15.56,3.119,2026.82,17021.3,113.19,144.93,1178.13,196.3586101,8.513,True
8,2011-12-02,40.82,3.172,2222.42,286.0,1464.46,1192.79,13865.57,222.2071405,6.123,False
8,2011-12-09,30.51,3.158,4425.92,36.0,346.05,1791.15,9889.35,222.4651238,6.123,False
8,2011-12-16,39.79,3.159,739.45,34.0,326.76,169.2,2238.66,222.6910959,6.123,False
8,2011-12-23,38.16,3.112,1234.0,0.3,891.94,14.0,5884.24,222.8743862,6.123,False
8,2011-12-30,36.33,3.129,3701.08,36381.83,164.34,178.4,1508.56,223.0576765,6.123,True
9,2011-12-02,46.84,3.172,1237.88,10533.551183431951,1330.53,643.78,8323.51,222.3975443,6.054,False
9,2011-12-09,37.65,3.158,3075.89,10533.551183431951,248.8,822.69,7585.2,222.6561203,6.054,False
9,2011-12-16,47.31,3.159,2755.9,10533.551183431951,136.48,384.78,2240.49,222.8825484,6.054,False
9,2011-12-23,44.43,3.112,719.14,0.24,318.75,17.72,2357.19,223.0661125,6.054,False
9,2011-12-30,43.41,3.129,2155.73,14481.63,44.07,237.84,3699.24,223.2496766,6.054,True
10,2011-12-02,57.29,3.701,7772.17,240.0,4737.51,6615.5,36360.42,129.8459667,7.874,False
10,2011-12-09,42.58,3.644,7010.08,74.24,1019.36,5124.86,9458.28,129.8555333,7.874,False
10,2011-12-16,50.53,3.489,2200.27,337.44,1203.16,158.52,3475.95,129.8980645,7.874,False
10,2011-12-23,48.36,3.541,300.02,77.73,2432.01,108.37,4078.21,129.9845484,7.874,False
10,2011-12-30,48.92,3.428,7676.36,104519.54,179.82,1573.87,3732.93,130.0710323,7.874,True
11,2011-12-02,56.89,3.172,7019.2,97.47,2917.09,3648.95,28803.28,222.1589519,7.197,False
11,2011-12-09,50.63,3.158,4923.89,36.0,525.03,2598.36,8696.45,222.4167852,7.197,False
11,2011-12-16,59.69,3.159,1812.02,143.06,592.44,669.07,4900.25,222.6426418,7.197,False
11,2011-12-23,54.29,3.112,515.57,11.23,964.31,1402.989427083333,3429.82,222.8258628,7.197,False
11,2011-12-30,48.86,3.129,4241.32,58046.41,239.33,78.09,586.72,223.0090839,7.197,True
12,2011-12-02,52.5,3.701,4868.73,10533.551183431951,2022.46,3768.45,18368.11,129.8459667,12.89,False
12,2011-12-09,42.17,3.644,8374.63,15.85,573.92,5849.71,37581.27,129.8555333,12.89,False
12,2011-12-16,43.29,3.6,4940.95,28.45,1038.3,1100.93,5243.21,129.8980645,12.89,False
12,2011-12-23,45.4,3.541,1797.35,15.98,839.84,1375.84,17699.26,129.9845484,12.89,False
12,2011-12-30,44.64,3.428,6982.02,58804.91,60.29,1268.21,3553.79,130.0710323,12.89,True
13,2011-12-02,33.94,3.389,7945.42,56.0,25126.9,5550.87,31844.2,129.8459667,6.392,False
13,2011-12-09,24.82,3.341,5924.71,56.0,577.59,1778.83,20371.02,129.8555333,6.392,False
13,2011-12-16,27.85,3.282,3272.56,556.15,959.55,424.43,5933.01,129.8980645,6.392,False
13,2011-12-23,24.76,3.186,686.24,193.26,2971.53,239.78,3567.03,129.9845484,6.392,False
13,2011-12-30,31.53,3.119,5970.81,89121.94,406.4,1772.02,3645.0,130.0710323,6.392,True
14,2011-12-02,50.19,3.452,6428.59,10533.551183431951,3657.58,2939.92,34955.25,188.5024346,8.523,False
14,2011-12-09,46.57,3.415,7297.72,15.0,342.71,4849.0,7509.9,188.6544692,8.523,False
14,2011-12-16,39.93,3.413,5398.47,6.12,881.17,290.64,6390.47,188.7979349,8.523,False
14,2011-12-23,42.27,3.389,924.14,112.73,2127.77,80.02,4638.81,188.9299752,8.523,False
14,2011-12-30,37.79,3.389,7844.31,70574.85,312.98,1559.84,2851.33,189.0620155,8.523,True
15,2011-12-02,45.67,3.666,3751.34,191.82,6485.06,1803.17,16136.43,136.4909333,7.866,False
15,2011-12-09,38.53,3.627,3581.98,193.94,75.62,1713.45,5227.94,136.5030667,7.866,False
15,2011-12-16,35.49,3.611,2176.13,19.0,158.53,925.45,1273.02,136.5335161,7.866,False
15,2011-12-23,34.93,3.587,260.78,7.27,1120.42,80.13,622.48,136.5883871,7.866,False
15,2011-12-30,31.44,3.566,3248.4,31122.2,111.35,605.88,3474.84,136.6432581,7.866,True
16,2011-12-02,27.83,3.378,516.47,61.0,944.52,9.0,7124.75,195.8223287,6.232,False
16,2011-12-09,14.44,3.331,2229.52,28.0,73.7,1696.73,6465.69,195.8742575,6.232,False
16,2011-12-16,22.5,3.266,2801.5,10533.551183431951,99.57,422.6,2684.19,195.9841685,6.232,False
16,2011-12-23,20.79,3.173,485.0,0.18,475.6,16.2,960.85,196.1713893,6.232,False
16,2011-12-30,23.91,3.119,921.67,11778.68,101.87,272.51,1673.25,196.3586101,6.232,True
17,2011-12-02,26.47,3.389,5562.36,222.94,16380.88,2303.32,17707.05,129.8459667,6.617,False
17,2011-12-09,17.56,3.341,8530.15,10533.551183431951,29.6,840.04,6700.99,129.8555333,6.617,False
17,2011-12-16,21.07,3.282,3356.86,0.03,38.78,1286.21,2618.88,129.8980645,6.617,False
17,2011-12-23,18.76,3.186,945.5,35.63,1077.82,57.64,2404.82,129.9845484,6.617,False
17,2011-12-30,26.73,3.119,4439.21,42391.85,120.08,1366.9,2383.67,130.0710323,6.617,True
18,2011-12-02,46.25,3.501,4614.36,7.0,1389.17,2419.58,23235.01,136.4909333,8.471,False
18,2011-12-09,42.36,3.47,5128.67,10.5,659.34,2773.46,6374.67,136.5030667,8.471,False
18,2011-12-16,35.52,3.445,3332.41,2.65,882.11,1350.2,2932.75,136.5335161,8.471,False
18,2011-12-23,35.78,3.413,159.95,12.79,2083.28,71.51,2131.65,136.5883871,8.471,False
18,2011-12-30,32.36,3.402,3214.22,53296.65,300.74,621.37,1276.08,136.6432581,8.471,True
19,2011-12-02,45.67,3.666,7197.6,239.76,9191.67,4716.48,28279.83,136.4909333,7.866,False
19,2011-12-09,40.18,3.627,7210.8,9.5,481.91,4650.7,11954.56,136.5030667,7.866,False
19,2011-12-16,37.07,3.611,5307.81,292.4,825.0,489.96,4799.18,136.5335161,7.866,False
19,2011-12-23,36.09,3.587,3124.45,475.86,1902.55,145.88,3248.83,136.5883871,7.866,False
19,2011-12-30,31.65,3.566,6234.22,50438.17,210.34,1457.96,2373.94,136.6432581,7.866,True
20,2011-12-02,46.32,3.452,10007.34,60.0,25959.98,6140.65,35675.62,211.6394306,7.082,False
20,2011-12-09,41.64,3.415,9458.19,81.5,791.04,5254.23,11447.14,211.8667856,7.082,False
20,2011-12-16,37.16,3.413,5488.56,217.03,1776.71,466.19,4535.27,212.0685039,7.082,False
20,2011-12-23,40.19,3.389,1483.17,80.15,2145.46,38.97,4180.29,212.2360401,7.082,False
20,2011-12-30,36.35,3.389,6918.65,97740.99,270.38,1648.03,2852.19,212.4035763,7.082,True
21,2011-12-02,48.72,3.172,3389.1,43.0,1258.32,325.35,8623.67,218.3590319,7.441,False
21,2011-12-09,41.44,3.158,6862.3,19.0,330.9,4746.58,17822.36,218.605037,7.441,False
21,2011-12-16,50.56,3.159,1846.83,65.06,163.18,393.58,2731.41,218.8217928,7.441,False
21,2011-12-23,46.54,3.112,759.8,6.92,577.46,29.81,2830.92,218.9995495,7.441,False
21,2011-12-30,45.16,3.129,2880.59,32642.96,124.32,419.61,3010.84,219.1773063,7.441,True
22,2011-12-02,49.11,3.501,10739.64,10533.551183431951,926.79,3397.08,29944.71,140.4307857,7.706,False
22,2011-12-09,45.35,3.47,3311.44,10533.551183431951,125.93,2499.81,16837.64,140.4397857,7.706,False
22,2011-12-16,39.11,3.445,5083.51,10533.551183431951,463.79,423.22,4590.08,140.4700795,7.706,False
22,2011-12-23,39.83,3.413,963.24,5.39,936.62,5.0,4250.08,140.528765,7.706,False
22,2011-12-30,36.28,3.402,6840.65,55072.53,35.75,388.44,5826.4,140.5874505,7.706,True
23,2011-12-02,43.6,3.501,6134.68,50.47,8734.68,5080.3,20441.81,136.4909333,4.42,False
23,2011-12-09,36.4,3.47,5491.42,10533.551183431951,611.34,4318.8,13208.67,136.5030667,4.42,False
23,2011-12-16,32.99,3.445,6112.33,19.18,738.38,591.22,4241.95,136.5335161,4.42,False
23,2011-12-23,27.8,3.413,1003.58,14.2,1683.17,2.0,570.74,136.5883871,4.42,False
23,2011-12-30,22.3,3.402,3895.97,50366.6,237.87,1099.12,2573.14,136.6432581,4.42,True
24,2011-12-02,47.21,3.666,4825.79,126.88,1601.23,6002.36,19966.73,136.4909333,8.454,False
24,2011-12-09,42.3,3.627,8915.25,10533.551183431951,209.71,2399.76,23368.58,136.5030667,8.454,False
24,2011-12-16,36.0,3.611,6244.37,9.09,143.42,1766.33,5516.14,136.5335161,8.454,False
24,2011-12-23,36.93,3.587,1813.06,632.93,1633.67,51.66,1309.54,136.5883871,8.454,False
24,2011-12-30,33.45,3.566,5743.34,44499.08,228.23,1242.49,4310.79,136.6432581,8.454,True
25,2011-12-02,42.85,3.452,3425.95,34.0,1200.12,4106.92,15164.5,211.6394306,7.082,False
25,2011-12-09,38.69,3.415,5549.98,64.0,256.97,2761.65,8753.69,211.8667856,7.082,False
25,2011-12-16,33.09,3.413,4548.64,61.0,602.21,282.11,1932.2,212.0685039,7.082,False
25,2011-12-23,36.56,3.389,2729.99,80.12,1689.22,26.97,3547.38,212.2360401,7.082,False
25,2011-12-30,32.42,3.389,4624.26,49913.53,177.05,407.17,2515.09,212.4035763,7.082,True
26,2011-12-02,36.74,3.501,3343.0,9.0,955.74,1187.26,14774.79,136.4909333,7.598,False
26,2011-12-09,34.24,3.47,4980.07,19.0,144.13,1669.69,6055.33,136.5030667,7.598,False
26,2011-12-16,28.24,3.445,2698.03,10533.551183431951,494.72,533.84,2670.1,136.5335161,7.598,False
26,2011-12-23,22.53,3.413,699.47,0.09,1018.94,9.0,2816.25,136.5883871,7.598,False
26,2011-12-30,18.8,3.402,4124.23,34472.24,159.04,799.85,2194.68,136.6432581,7.598,True
27,2011-12-02,50.55,3.666,5369.61,294.47,7008.02,3692.11,33247.0,140.4307857,7.906,False
27,2011-12-09,46.28,3.627,4072.48,48.0,1800.87,1796.01,8867.17,140.4397857,7.906,False
27,2011-12-16,40.68,3.611,7510.92,28.09,1049.3,1160.14,7853.48,140.4700795,7.906,False
27,2011-12-23,41.59,3.587,2415.4,239.89,1438.33,209.34,2976.85,140.528765,7.906,False
27,2011-12-30,37.85,3.566,3650.53,50076.68,271.89,1009.78,1773.53,140.5874505,7.906,True
28,2011-12-02,52.5,3.701,10392.61,75.0,2241.11,6243.02,19374.19,129.8459667,12.89,False
28,2011-12-09,42.17,3.644,6628.73,21.0,140.19,6168.78,14073.59,129.8555333,12.89,False
28,2011-12-16,43.29,3.6,2429.88,18.24,347.78,573.31,6432.36,129.8980645,12.89,False
28,2011-12-23,45.4,3.541,2135.31,1.53,752.34,499.0,5674.11,129.9845484,12.89,False
28,2011-12-30,44.64,3.428,5218.93,49826.06,155.37,1011.54,7761.98,130.0710323,12.89,True
29,2011-12-02,49.11,3.501,2167.06,10533.551183431951,1457.99,820.49,6387.74,136.4909333,9.357,False
29,2011-12-09,45.35,3.47,2597.24,10533.551183431951,614.02,499.88,5186.34,136.5030667,9.357,False
29,2011-12-16,39.11,3.445,1779.72,10533.551183431951,547.17,1211.18,6777.33,136.5335161,9.357,False
29,2011-12-23,39.83,3.413,373.34,5.21,676.82,10.5,1730.4,136.5883871,9.357,False
29,2011-12-30,36.28,3.402,2168.59,17155.07,47.22,332.96,1792.92,136.6432581,9.357,True
30,2011-12-02,48.72,3.172,23.47,10533.551183431951,4.7,1402.989427083333,1257.19,218.3590319,7.441,False
30,2011-12-09,41.44,3.158,1.5,10533.551183431951,3.41,1402.989427083333,1774.78,218.605037,7.441,False
30,2011-12-16,50.56,3.159,3405.4175,10533.551183431951,11.1,1402.989427083333,602.44,218.8217928,7.441,False
30,2011-12-23,46.54,3.112,245.83,10533.551183431951,12.5,2.52,2951.23,218.9995495,7.441,False
30,2011-12-30,45.16,3.129,782.67,2027.77,1152.3352293577982,35.28,239.99,219.1773063,7.441,True
31,2011-12-02,48.72,3.172,5425.3,96.94,1100.35,2779.95,24475.38,218.3590319,7.441,False
31,2011-12-09,41.44,3.158,2876.83,11.87,471.16,1915.49,11604.37,218.605037,7.441,False
31,2011-12-16,50.56,3.159,1263.97,47.0,477.99,566.44,5199.2,218.8217928,7.441,False
31,2011-12-23,46.54,3.112,2240.27,18.26,974.28,86.0,6207.39,218.9995495,7.441,False
31,2011-12-30,45.16,3.129,6123.19,24716.69,114.74,845.42,3413.9,219.1773063,7.441,True
32,2011-12-02,33.8,3.378,5261.51,65.0,1075.86,4742.55,25961.21,195.8223287,8.513,False
32,2011-12-09,17.94,3.331,6397.72,63.0,303.02,2813.68,9856.66,195.8742575,8.513,False
32,2011-12-16,26.23,3.266,5519.01,79.0,572.44,493.58,4074.52,195.9841685,8.513,False
32,2011-12-23,25.97,3.173,1211.62,10.3,1255.26,33.0,4932.34,196.1713893,8.513,False
32,2011-12-30,32.99,3.119,5886.08,51732.49,211.5,1183.24,3017.63,196.3586101,8.513,True
33,2011-12-02,59.12,3.701,0.5,10533.551183431951,4.0,1402.989427083333,1280.77,129.8459667,8.01,False
33,2011-12-09,47.7,3.644,9.88,10533.551183431951,6.93,1402.989427083333,1580.88,129.8555333,8.01,False
33,2011-12-16,53.18,3.489,258.31,10533.551183431951,3.67,1402.989427083333,1065.06,129.8980645,8.01,False
33,2011-12-23,53.39,3.541,123.82,10533.551183431951,2.78,1402.989427083333,950.77,129.9845484,8.01,False
33,2011-12-30,51.6,3.428,384.37,1919.79,4.95,25.2,556.38,130.0710323,8.01,True
34,2011-12-02,39.75,3.176,4611.57,70.94,1109.59,1307.67,17316.01,129.8459667,10.148,False
34,2011-12-09,24.69,3.153,3131.47,3.0,127.58,479.79,4102.57,129.8555333,10.148,False
34,2011-12-16,32.31,3.149,824.88,300.0,226.35,573.1,2966.73,129.8980645,10.148,False
34,2011-12-23,32.45,3.103,1200.1,0.18,1108.23,37.22,2109.3,129.9845484,10.148,False
34,2011-12-30,28.84,3.119,3312.59,21909.93,210.22,146.1,3299.3,130.0710323,10.148,True
35,2011-12-02,50.55,3.452,5051.87,10533.551183431951,3150.68,3945.27,26649.46,140.4307857,8.745,False
35,2011-12-09,46.28,3.415,1386.01,10533.551183431951,529.1,955.48,9427.75,140.4397857,8.745,False
35,2011-12-16,40.68,3.413,5115.93,0.27,10748.31,601.89,14608.23,140.4700795,8.745,False
35,2011-12-23,41.59,3.389,318.61,22.4,1429.48,20.98,4140.36,140.528765,8.745,False
35,2011-12-30,37.85,3.389,6742.63,34766.99,163.27,961.0,2074.13,140.5874505,8.745,True
36,2011-12-02,53.57,3.164,3405.4175,10533.551183431951,10.0,1402.989427083333,624.31,217.4229206,7.716,False
36,2011-12-09,50.64,3.147,3405.4175,10533.551183431951,-0.87,1402.989427083333,1129.02,217.6645878,7.716,False
36,2011-12-16,58.31,3.133,11.64,10533.551183431951,1.14,1402.989427083333,3752.18,217.8781339,7.716,False
36,2011-12-23,55.41,3.098,17.01,10533.551183431951,0.76,1402.989427083333,2264.75,218.0541851,7.716,False
36,2011-12-30,48.26,3.132,548.91,1288.61,1152.3352293577982,50.4,412.21,218.2302364,7.716,True
37,2011-12-02,53.57,3.172,1.5,10533.551183431951,6.03,1402.989427083333,1180.32,217.4229206,7.716,False
37,2011-12-09,50.64,3.158,3405.4175,10533.551183431951,16.62,1402.989427083333,1319.82,217.6645878,7.716,False
37,2011-12-16,58.31,3.159,13.38,10533.551183431951,9.18,1402.989427083333,868.78,217.8781339,7.716,False
37,2011-12-23,55.41,3.112,158.11,10533.551183431951,7.5,1402.989427083333,1316.88,218.0541851,7.716,False
37,2011-12-30,48.26,3.129,373.92,1057.77,1.5,10.08,741.34,218.2302364,7.716,True
38,2011-12-02,52.5,3.701,22.15,10533.551183431951,2.35,1402.989427083333,1889.95,129.8459667,12.89,False
38,2011-12-09,42.17,3.644,61.05,10533.551183431951,2.44,1402.989427083333,1589.34,129.8555333,12.89,False
38,2011-12-16,43.29,3.6,152.89,10533.551183431951,1152.3352293577982,2.28,766.96,129.8980645,12.89,False
38,2011-12-23,45.4,3.541,59.23,10533.551183431951,0.6,1402.989427083333,1588.1,129.9845484,12.89,False
38,2011-12-30,44.64,3.428,353.07,1926.94,1152.3352293577982,25.2,770.38,130.0710323,12.89,True
39,2011-12-02,53.14,3.172,2966.71,59.47,2100.01,3614.81,18646.29,217.4229206,7.716,False
39,2011-12-09,49.36,3.158,4462.95,10533.551183431951,292.36,1354.79,22649.7,217.6645878,7.716,False
39,2011-12-16,58.58,3.159,873.38,15.15,505.72,650.86,6904.19,217.8781339,7.716,False
39,2011-12-23,54.62,3.112,3099.34,16.14,1339.1,213.49,4911.65,218.0541851,7.716,False
39,2011-12-30,47.6,3.129,5363.52,53918.62,193.95,383.85,8337.7,218.2302364,7.716,True
40,2011-12-02,38.51,3.501,3966.04,23.47,2363.99,1455.15,15828.62,136.4909333,4.42,False
40,2011-12-09,34.48,3.47,7081.76,48.0,94.05,1757.4,6850.25,136.5030667,4.42,False
40,2011-12-16,29.53,3.445,3067.81,10533.551183431951,383.98,409.64,2938.11,136.5335161,4.42,False
40,2011-12-23,24.46,3.413,709.32,0.03,1065.7,67.72,1336.25,136.5883871,4.42,False
40,2011-12-30,18.75,3.402,3392.38,25557.03,205.29,421.72,2439.13,136.6432581,4.42,True
41,2011-12-02,34.53,3.378,4594.56,305.47,1781.24,3168.1,21739.26,195.8223287,6.759,False
41,2011-12-09,17.05,3.331,2782.39,120.0,141.21,1946.76,9503.64,195.8742575,6.759,False
41,2011-12-16,25.01,3.266,7400.39,89.0,283.08,1269.68,4809.26,195.9841685,6.759,False
41,2011-12-23,25.59,3.173,1284.19,30.33,1059.9,35.76,3430.56,196.1713893,6.759,False
41,2011-12-30,34.12,3.119,5251.98,56106.2,134.7,1059.49,2366.54,196.3586101,6.759,True
42,2011-12-02,57.29,3.701,24.09,10533.551183431951,4.7,1402.989427083333,1016.84,129.8459667,7.874,False
42,2011-12-09,42.58,3.644,31.2,10533.551183431951,21.31,1402.989427083333,1872.37,129.8555333,7.874,False
42,2011-12-16,50.53,3.489,2.42,10533.551183431951,31.33,1402.989427083333,675.78,129.8980645,7.874,False
42,2011-12-23,48.36,3.541,103.5,10533.551183431951,19.63,1402.989427083333,939.49,129.9845484,7.874,False
42,2011-12-30,48.92,3.428,242.41,1447.26,3.64,183.96,459.06,130.0710323,7.874,True
43,2011-12-02,47.49,3.172,14.82,10533.551183431951,6.11,1402.989427083333,1707.13,210.3126071,10.148,False
43,2011-12-09,34.23,3.158,38.34,10533.551183431951,7.41,1402.989427083333,1707.87,210.5363571,10.148,False
43,2011-12-16,43.78,3.159,4.86,10533.551183431951,2.5,1402.989427083333,1070.83,210.7365392,10.148,False
43,2011-12-23,42.63,3.112,75.54,10533.551183431951,3.75,1402.989427083333,1276.15,210.9052972,10.148,False
43,2011-12-30,41.83,3.129,415.59,1926.05,1152.3352293577982,50.66,837.74,211.0740553,10.148,True
44,2011-12-02,33.94,3.389,60.0,10533.551183431951,4.23,1402.989427083333,1185.19,129.8459667,6.078,False
44,2011-12-09,24.82,3.341,3405.4175,10533.551183431951,0.47,1402.989427083333,441.57,129.8555333,6.078,False
44,2011-12-16,27.85,3.282,29.4,10533.551183431951,6.75,1402.989427083333,1041.62,129.8980645,6.078,False
44,2011-12-23,24.76,3.186,38.0,10533.551183431951,1152.3352293577982,1402.989427083333,746.84,129.9845484,6.078,False
44,2011-12-30,31.53,3.119,409.92,1566.42,1152.3352293577982,17.64,153.9,130.0710323,6.078,True
45,2011-12-02,50.19,3.452,6835.61,120.76,802.79,2490.15,17861.5,188.5024346,8.523,False
45,2011-12-09,46.57,3.415,6176.69,2.87,379.57,1593.44,10170.5,188.6544692,8.523,False
45,2011-12-16,39.93,3.413,4631.26,8.92,801.34,848.33,2757.82,188.7979349,8.523,False
45,2011-12-23,42.27,3.389,797.1,89.14,1962.19,17.0,2985.51,188.9299752,8.523,False
45,2011-12-30,37.79,3.389,3604.35,43941.56,287.45,357.43,750.01,189.0620155,8.523,True
