Store,Date,CPI,Fuel_Price,IsHoliday,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,Temperature,Unemployment,_is_imputed
7177626,2011-12-02,130.6351298,3.523,False,10237.8427,1321.5405698784575,20295.153768759177,6615.5,37126.58,40.48,9.818,False
7177626,2011-12-09,130.637032,3.365,False,6422.6609,0.03,20295.153768759177,6615.5,36477.44,43.57,9.818,False
7177626,2011-12-16,,,False,,,,,,,,True
7177626,2011-12-23,130.7338985,3.336,False,8437.2198,14483.17989118473,20295.153768759177,6281.071059208784,18218.32,36.13,9.818,False
7177626,2011-12-23,130.9826003,3.292,True,5448.4362,20031.621104533875,20295.153768759177,1725.0458315552337,4975.61,33.95,9.818,False
7177626,2011-12-23,130.9558351,3.336,True,10193.702,76645.36208607622,19830.569852797405,6122.880293436378,5493.34,33.95,9.818,False
7177626,2011-12-30,,,True,,,,,,,,True
7218420,2011-12-02,221.2149687,3.198,False,574.1489,47368.99170097281,27.04352586859492,1025.1525039206006,1769.27,53.26,7.883,False
7218420,2011-12-02,221.2511531,3.192,False,1618.3283,49320.74908838739,779.4906307728886,131.50056611794582,2355.13,53.32,7.883,False
7218420,2011-12-09,,,False,,,,,,,,True
7218420,2011-12-16,221.6247579,3.19,False,742.2467,41674.961297396585,210.6648422164331,131.6014256728073,1468.71,53.13,7.883,False
7218420,2011-12-23,221.9748091,3.197,False,564.4124,24330.284523886286,16.782766727712097,1083.2757711494494,609.61,52.48,7.883,False
7218420,2011-12-30,222.0066528,3.177,True,783.6251,44079.97405636744,214.12640464952187,131.87858381322522,1392.33,52.22,7.883,False
8273242,2011-12-02,135.0560581,3.507,False,1607.9361,25587.524231959425,3949.4526291909774,4293.03700960467,12548.65,52.71,6.739,False
8273242,2011-12-02,135.0560574,3.502,False,3770.4556,11105.383004184576,2863.6580111444296,3849.033337871203,17311.98,55.02,6.739,False
8273242,2011-12-09,135.0737539,3.428,False,3104.8955,27640.596305866005,1962.8768183425495,2340.7169674997263,11425.21,50.23,6.739,False
8273242,2011-12-16,,,False,,,,,,,,True
8273242,2011-12-23,135.4439537,3.344,False,528.424,50357.18500809924,1977.410827464196,992.297452244816,3810.64,49.7,6.739,False
8273242,2011-12-30,135.379852,3.354,False,3344.8126,50318.81756318296,127.83451878222358,1961.00743952494,12986.27,50.25,6.739,False
9798665,2011-12-02,155.9821752,3.517,False,2999.8844,89798.62927430833,4426.331584741203,4848.533588499325,18433.13,54.65,6.546,False
9798665,2011-12-02,155.9977826,3.461,False,6365.7811,89869.39630693788,107.76452122834196,5083.84486122294,7213.76,51.19,6.546,False
9798665,2011-12-09,156.0864826,3.424,False,4932.657,89868.3525155286,807.6535454514337,4286.139287187044,6086.48,47.81,6.546,False
9798665,2011-12-16,156.2209829,3.422,True,3044.6507,89245.40685029817,5422.412169529552,971.6395019034366,7213.18,46.16,6.546,False
9798665,2011-12-23,,,True,,,,,,,,True
9798665,2011-12-30,156.3101485,3.422,False,7769.4143,89868.64916732753,1127.9962927628549,3583.368142621889,4651.11,46.54,6.546,False
9956434,2011-12-02,154.7201192,3.432,False,8311.4545,50962.901174260274,4286.2531390747845,862.149966213353,4095.16,39.81,8.577,False
9956434,2011-12-09,154.7417648,3.413,False,2453.301,54842.85935246677,4598.228214598773,862.149966213353,2918.28,39.69,8.577,False
9956434,2011-12-16,154.774778,3.313,False,9206.7921,70587.64545364001,52.3365901325311,2554.8960469148583,8953.62,39.34,8.577,False
9956434,2011-12-16,154.7710942,3.36,False,6459.9319,69140.55914884656,2735.111596414325,862.1499662136441,5210.59,39.51,8.577,False
9956434,2011-12-23,,,False,,,,,,,,True
9956434,2011-12-30,154.9710382,3.295,False,5949.8174,69020.95037216804,1085.7807090225,862.1550703997151,4864.52,37.02,8.577,False
10045201,2011-12-02,146.4656217,3.35,False,7476.5504,7817.618367678117,6920.997423735671,590.5920231846741,17987.17,46.71,5.602,False
10045201,2011-12-09,146.4674119,3.354,False,8150.6715,29359.77100974458,6920.771596837127,590.6293203574096,18019.61,50.47,5.602,False
10045201,2011-12-16,146.5457193,3.282,False,5937.97,37386.85624912249,4120.274320558562,590.5936423319358,16924.2,48.76,5.602,False
10045201,2011-12-16,146.791722,3.188,True,3088.9002,27878.109424738657,180.26365150070112,590.5920209452217,1797.57,40.4,5.602,False
10045201,2011-12-23,,,True,,,,,,,,True
10045201,2011-12-30,146.8659156,3.209,True,6853.5252,57815.589257513646,180.94776554727264,607.1975388126141,13713.49,48.33,5.602,False
10275130,2011-12-02,146.752685,3.594,False,1162.7286,45675.77106233661,3683.542620016012,3883.413121299744,6476.2,38.34,11.13,False
10275130,2011-12-02,146.7531026,3.599,False,1026.1766,45885.91001264581,1615.2891726697962,3883.812997125772,4623.9,34.58,11.13,False
10275130,2011-12-09,146.8338968,3.529,False,1043.0092,42710.51910204288,977.385648025268,3863.781238612946,3362.58,34.88,11.13,False
10275130,2011-12-16,,,False,,,,,,,,True
10275130,2011-12-23,147.2423909,3.403,False,1559.9544,23964.38019347809,3030.4007506366,968.5230444248082,3285.15,36.23,11.13,False
10275130,2011-12-23,147.228255,3.429,True,1027.6651,41548.45099020253,114.0405806428758,3659.538329326953,1025.2,34.71,11.13,False
10275130,2011-12-30,,,True,,,,,,,,True
10563809,2011-12-02,202.961625,3.185,False,5904.4259,44555.45154198859,1260.7526251988918,628.2260375695885,5697.99,49.61,9.43,False
10563809,2011-12-02,202.9986274,3.191,False,5991.5543,28557.551637030843,4084.7806092919145,620.4235816078883,5342.64,49.47,9.43,False
10563809,2011-12-09,,,False,,,,,,,,True
10563809,2011-12-16,203.3115165,3.172,False,5419.5072,36612.18130623139,1093.2740749068766,620.4235813614272,4010.8,48.51,9.43,False
10563809,2011-12-23,203.6891916,3.122,False,279.0641,24340.096916687147,1151.9464673129005,620.4235813614272,3208.66,43.42,9.43,False
10563809,2011-12-23,203.6027233,3.115,True,5985.4349,44451.689036001335,42.79338704092308,620.4235813614272,3158.16,46.98,9.43,False
10563809,2011-12-30,,,True,,,,,,,,True
10742985,2011-12-02,191.2767007,3.299,True,6679.2164,2231.1309670440137,8152.77612928448,4670.450051757824,18293.24,52.51,6.322,False
10742985,2011-12-09,191.2490995,3.256,True,6679.2164,61616.64449236478,3806.205050336387,5464.158170460327,26622.5,58.23,6.322,False
10742985,2011-12-16,191.7090304,3.227,False,1868.4296,444.2148473968258,206.13419038164943,571.9018705740023,2652.88,48.44,6.322,False
10742985,2011-12-16,191.5336104,3.241,True,6677.4157,15797.31116334646,1357.358815163168,1777.723110521404,11596.85,50.84,6.322,False
10742985,2011-12-23,,,True,,,,,,,,True
10742985,2011-12-30,191.7742251,3.205,False,3020.631,59255.52912090521,190.6860573824557,588.4645141469448,11853.35,50.25,6.322,False
11712778,2011-12-02,202.0227844,3.266,False,240.6612,49066.54162477355,-0.1615443721906589,2040.199498349302,1962.94,55.95,7.157,False
11712778,2011-12-02,202.0353518,3.254,False,240.9587,49297.418947277954,220.3267729328634,2.0,1982.49,54.79,7.157,False
11712778,2011-12-09,202.3780003,3.243,False,1321.3554,44806.90885732226,27.354828653503095,2.0,1878.66,54.73,7.157,False
11712778,2011-12-16,,,False,,,,,,,,True
11712778,2011-12-23,202.7184937,3.182,True,3211.3395,34011.32394986174,4.656861904368502,2.0,1913.99,49.62,7.157,False
11712778,2011-12-30,202.7603337,3.227,True,243.5901,33713.53005613871,-0.2848233830916541,2.0,1585.16,55.23,7.157,False
11845276,2011-12-02,170.6088134,3.437,False,6408.8723,87533.27997149601,3666.147855075533,5384.545020470509,29149.41,51.22,7.222,False
11845276,2011-12-09,170.6304262,3.438,False,7670.0424,55087.57005601496,7692.683708389103,5360.4573179681065,29093.19,51.54,7.222,False
11845276,2011-12-16,170.8783683,3.365,False,7639.2583,71434.56948916163,1374.018395235548,3039.7326218188973,26618.53,51.65,7.222,False
11845276,2011-12-23,171.0429898,3.285,True,4284.014,92114.5719892386,1.856124030942675,603.0178091171213,14901.87,51.42,7.222,False
11845276,2011-12-23,171.2979042,3.305,True,7669.7961,57952.60257468908,371.4374822911378,434.2259568035564,10050.81,50.02,7.222,False
11845276,2011-12-30,,,True,,,,,,,,True
12011041,2011-12-02,195.9224174,3.254,False,2630.8686,36615.77816995972,3444.8498263711945,1628.668680469665,13638.7,41.41,7.76,False
12011041,2011-12-02,195.9482299,3.254,False,2919.2414,8098.701906455564,6921.765440979252,1591.13191480114,13638.67,40.91,7.76,False
12011041,2011-12-09,,,False,,,,,,,,True
12011041,2011-12-16,196.2640917,3.226,False,2885.325,31629.94551920421,2212.1318294148346,1504.6745029661297,13422.65,40.04,7.76,False
12011041,2011-12-23,196.4412847,3.156,True,2298.4522,30697.691029248035,864.0054852409884,49.54748070436369,3880.27,40.83,7.76,False
12011041,2011-12-30,196.5177171,3.152,False,2495.0373,60440.04575337107,121.23075191759092,1518.9754131518173,6790.05,41.19,7.76,False
12174865,2011-12-02,206.5555987,3.219,False,4794.4282,83421.9120296263,10.198661478345404,3874.7152748351623,15431.81,49.77,7.374,False
12174865,2011-12-02,206.673784,3.217,False,1831.9196,84095.83854492694,643.2347005180568,3596.6309191690293,15147.47,52.53,7.374,False
12174865,2011-12-09,,,False,,,,,,,,True
12174865,2011-12-16,207.0126138,3.206,True,5470.2692,79497.77833564294,169.18835709650702,2078.8653223526767,11763.85,49.41,7.374,False
12174865,2011-12-23,207.216453,3.185,True,5490.8746,61376.08567213248,8.705431001539308,652.6471373327868,3229.75,49.19,7.374,False
12174865,2011-12-30,207.2557648,3.131,True,5490.7765,74679.63432417132,172.58427339124097,499.9412396226388,1544.74,49.83,7.374,False
12396579,2011-12-02,134.5547222,3.409,False,6041.4597,1945.19861415208,8057.36047713754,1462.3640364974972,3609.58,41.97,6.963,False
12396579,2011-12-02,134.5547616,3.384,False,7845.1268,0.03,8056.897924654821,4949.22604062949,3605.79,42.03,6.963,False
12396579,2011-12-09,,,False,,,,,,,,True
12396579,2011-12-16,134.5968125,3.304,False,5486.4343,10716.613376613708,8034.840286252101,3497.757729231626,3203.32,40.02,6.963,False
12396579,2011-12-23,134.7757495,3.272,False,3893.279,23690.82420898199,442.36661600408576,4678.446337336965,9510.75,29.87,6.963,False
12396579,2011-12-23,134.7927456,3.27,False,2351.1954,47864.09393843356,8042.467483040631,320.82524388636665,2787.64,31.11,6.963,False
12396579,2011-12-30,,,False,,,,,,,,True
12478429,2011-12-02,164.7293067,3.366,False,1815.4898,6974.448501527831,3728.08606658885,2150.0502440736627,20581.56,33.23,7.599,False
12478429,2011-12-02,164.7283886,3.356,False,4053.4824,0.03,2902.265360454668,2424.129318327639,18440.64,24.28,7.599,False
12478429,2011-12-09,,,False,,,,,,,,True
12478429,2011-12-16,164.8490748,3.275,False,3029.7205,15944.501885700862,1119.8014093744418,1822.1188018512487,7471.7,24.12,7.599,False
12478429,2011-12-23,165.2034301,3.241,True,3581.0041,29998.964631935,211.55429593720748,3062.106435753792,1185.06,21.25,7.599,False
12478429,2011-12-30,165.2528969,3.236,True,1528.7763,31129.317924975257,659.6903064892356,1250.9791310607031,2466.27,25.02,7.599,False
13237662,2011-12-02,166.9046225,3.635,False,740.3076,59842.97749218384,2927.7285919873493,3456.1026222167866,11146.96,43.95,7.811,False
13237662,2011-12-02,166.9383393,3.546,False,740.2742,86046.13740891792,2928.7597662066905,4619.447453228999,11146.95,43.64,7.811,False
13237662,2011-12-09,,,False,,,,,,,,True
13237662,2011-12-16,167.0406957,3.522,False,740.9389,69375.81195573065,2169.2758242861373,3043.4739794648303,10906.9,43.34,7.811,False
13237662,2011-12-23,167.1565023,3.51,True,801.0752,75141.20722783565,28.824171619663478,2528.188904793545,462.54,44.82,7.811,False
13237662,2011-12-23,167.0996765,3.52,True,2792.8245,37748.66920902674,19.360957292261467,2.0,3756.39,43.32,7.811,False
13237662,2011-12-30,,,True,,,,,,,,True
13339386,2011-12-02,166.6070878,3.34,False,5036.8237,2505.422730492573,2980.266874828804,1827.904164660965,25027.08,42.0,6.46,False
13339386,2011-12-02,166.6315766,3.292,False,862.343,4463.380008241934,1504.4260556333938,1044.9338256584467,25027.08,41.98,6.46,False
13339386,2011-12-09,166.7158035,3.254,False,4429.3976,12509.770952451876,285.66997022554847,1076.81060828351,25026.39,36.5,6.46,False
13339386,2011-12-16,,,False,,,,,,,,True
13339386,2011-12-23,166.8640602,3.243,False,3311.4265,19711.506083232685,265.21193314957094,2.0,2697.04,33.0,6.46,False
13339386,2011-12-30,166.8197741,3.247,True,5223.0698,22783.9983996523,261.8379537627675,1456.1971017679948,12144.89,33.36,6.46,False
13849251,2011-12-02,210.6125869,3.345,False,7416.3555,18237.6392630876,1837.202133631343,2907.307359365175,33099.74,33.09,8.213,False
13849251,2011-12-02,210.589567,3.345,False,7427.1557,45111.38572620138,3586.752002380777,4511.635706133204,33099.74,37.73,8.213,False
13849251,2011-12-09,,,False,,,,,,,,True
13849251,2011-12-16,210.8962295,3.34,False,7079.8036,25144.381454607654,730.0719071242395,2548.469696142897,32866.65,34.59,8.213,False
13849251,2011-12-23,211.2655255,3.245,False,3907.3348,4145.357512598472,140.11684140263455,1748.979885017834,4096.65,33.31,8.213,False
13849251,2011-12-30,211.23423,3.242,False,6547.7691,43257.57251162567,251.29579629636893,3008.008621591478,4096.46,40.92,8.213,False
14285559,2011-12-02,192.9656438,3.655,False,10220.4756,182.62031479048792,13883.432145915374,3242.171125772156,35717.28,24.36,7.734,False
14285559,2011-12-02,192.9655734,3.591,False,8510.3645,182.62031511483048,13883.432145915374,2.0,23975.72,24.16,7.734,False
